,title,domestic_gross,foreign_gross,year
198,The Runaways,3600000.0,The Runaways,2010
199,Four Lions,305000.0,Four Lions,2010
200,Wild Grass,404000.0,Wild Grass,2010
201,Please Give,4000000.0,Please Give,2010
202,Monsters,237000.0,Monsters,2010
203,Rare Exports: A Christmas Tale,236000.0,Rare Exports: A Christmas Tale,2010
204,The Killer Inside Me,217000.0,The Killer Inside Me,2010
205,The Perfect Game,1000000.0,The Perfect Game,2010
206,To Save a Life,3800000.0,To Save a Life,2010
207,Inspector Bellamy,108000.0,Inspector Bellamy,2010
208,Catfish,3200000.0,Catfish,2010
209,Wild Target,109000.0,Wild Target,2010
210,Outside the Law (Hors-la-loi),96900.0,Outside the Law (Hors-la-loi),2010
211,Frozen (2010),246000.0,Frozen (2010),2010
212,Dabangg,1300000.0,Dabangg,2010
213,Kites,1600000.0,Kites,2010
214,Letters to God,2800000.0,Letters to God,2010
215,Twelve,184000.0,Twelve,2010
216,Tees Maar Khan,1100000.0,Tees Maar Khan,2010
217,Fish Tank,375000.0,Fish Tank,2010
218,Housefull,1200000.0,Housefull,2010
219,Golmaal 3,1100000.0,Golmaal 3,2010
220,After.Life,109000.0,After.Life,2010
221,Cairo Time,1600000.0,Cairo Time,2010
222,Flipped,1800000.0,Flipped,2010
223,Guzaarish,1000000.0,Guzaarish,2010
224,Ondine,550000.0,Ondine,2010
225,Anjaana Anjaani,855000.0,Anjaana Anjaani,2010
226,John Rabe,67500.0,John Rabe,2010
227,Restrepo,1300000.0,Restrepo,2010
228,Raavan,709000.0,Raavan,2010
229,The City of Your Final Destination,493000.0,The City of Your Final Destination,2010
230,It's a Wonderful Afterlife,0.0,It's a Wonderful Afterlife,2010
231,Ajami,622000.0,Ajami,2010
232,Army of Crime,37000.0,Army of Crime,2010
233,Lebanon,368000.0,Lebanon,2010
234,Howl,617000.0,Howl,2010
235,Videocracy,23700.0,Videocracy,2010
236,When You're Strange,246000.0,When You're Strange,2010
237,The Salvation Poem (Poema de Salvacion),915000.0,The Salvation Poem (Poema de Salvacion),2010
238,Casino Jack,1000000.0,Casino Jack,2010
239,Leaving,176000.0,Leaving,2010
240,Khatta Meetha,542000.0,Khatta Meetha,2010
